Ticket,Name,Link,Price,Market Cap,Change
BTC,Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,$9172.37,"$165,320,347,300",0.57%
ETH,Ethereum,https://coinmarketcap.com/currencies/ethereum/,$182.99,"$19,832,425,249",0.88%
XRP,XRP,https://coinmarketcap.com/currencies/ripple/,$0.292446,"$12,647,740,293",-0.21%
BCH,Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,$280.31,"$5,070,537,204",0.03%
USDT,Tether,https://coinmarketcap.com/currencies/tether/,$1.01,"$4,129,876,649",-0.01%
LTC,Litecoin,https://coinmarketcap.com/currencies/litecoin/,$58.45,"$3,716,702,153",0.38%
BNB,Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,$19.97,"$3,105,704,779",0.73%
EOS,EOS,https://coinmarketcap.com/currencies/eos/,$3.28,"$3,076,254,191",1.29%
BSV,Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,$127.89,"$2,310,721,630",-1.20%
XLM,Stellar,https://coinmarketcap.com/currencies/stellar/,$0.070014,"$1,404,108,572",10.16%
TRX,TRON,https://coinmarketcap.com/currencies/tron/,$0.019674,"$1,311,891,438",0.33%
ADA,Cardano,https://coinmarketcap.com/currencies/cardano/,$0.041927,"$1,087,043,111",1.92%
XMR,Monero,https://coinmarketcap.com/currencies/monero/,$59.55,"$1,029,415,880",2.40%
LEO,UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,$0.985662,"$985,168,360",4.51%
HT,Huobi Token,https://coinmarketcap.com/currencies/huobi-token/,$3.93,"$949,185,156",2.00%
LINK,Chainlink,https://coinmarketcap.com/currencies/chainlink/,$2.70,"$946,066,595",4.38%
MIOTA,IOTA,https://coinmarketcap.com/currencies/iota/,$0.272916,"$758,577,829",0.65%
NEO,NEO,https://coinmarketcap.com/currencies/neo/,$10.68,"$753,259,854",2.09%
DASH,Dash,https://coinmarketcap.com/currencies/dash/,$71.25,"$650,610,453",0.20%
ATOM,Cosmos,https://coinmarketcap.com/currencies/cosmos/,$3.25,"$619,973,168",5.31%
XTZ,Tezos,https://coinmarketcap.com/currencies/tezos/,$0.878574,"$580,186,842",-1.57%
ETC,Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,$4.93,"$566,132,634",2.98%
MKR,Maker,https://coinmarketcap.com/currencies/maker/,$546.38,"$546,378,885",6.28%
ONT,Ontology,https://coinmarketcap.com/currencies/ontology/,$0.852739,"$477,407,121",1.09%
USDC,USD Coin,https://coinmarketcap.com/currencies/usd-coin/,$1.00,"$463,478,918",-0.03%
CRO,Crypto.com Coin,https://coinmarketcap.com/currencies/crypto-com-coin/,$0.036207,"$409,521,698",-0.21%
XEM,NEM,https://coinmarketcap.com/currencies/nem/,$0.040388,"$363,494,880",-0.34%
DOGE,Dogecoin,https://coinmarketcap.com/currencies/dogecoin/,$0.002611,"$318,240,337",0.19%
BAT,Basic Attenti...,https://coinmarketcap.com/currencies/basic-attention-token/,$0.230711,"$311,679,315",-2.07%
ZEC,Zcash,https://coinmarketcap.com/currencies/zcash/,$37.48,"$290,664,030",-0.80%
PAX,Paxos Standard,https://coinmarketcap.com/currencies/paxos-standard/,$1.00,"$248,835,341",-0.04%
VET,VeChain,https://coinmarketcap.com/currencies/vechain/,$0.004053,"$224,780,544",0.71%
HEDG,HedgeTrade,https://coinmarketcap.com/currencies/hedgetrade/,$0.747164,"$215,430,441",1.26%
QTUM,Qtum,https://coinmarketcap.com/currencies/qtum/,$2.14,"$206,197,819",0.06%
DCR,Decred,https://coinmarketcap.com/currencies/decred/,$17.77,"$188,534,121",12.80%
TUSD,TrueUSD,https://coinmarketcap.com/currencies/trueusd/,$1.00,"$181,418,532",-0.18%
ZRX,0x,https://coinmarketcap.com/currencies/0x/,$0.286355,"$172,312,758",4.65%
HOT,Holo,https://coinmarketcap.com/currencies/holo/,$0.000941,"$151,927,739",4.52%
ABBC,ABBC Coin,https://coinmarketcap.com/currencies/abbc-coin/,$0.255823,"$142,088,117",1.70%
BTG,Bitcoin Gold,https://coinmarketcap.com/currencies/bitcoin-gold/,$8.06,"$141,120,931",0.66%
ZB,ZB,https://coinmarketcap.com/currencies/zb/,$0.297852,"$137,991,478",0.44%
RVN,Ravencoin,https://coinmarketcap.com/currencies/ravencoin/,$0.028831,"$137,185,902",-0.17%
LUNA,LUNA,https://coinmarketcap.com/currencies/luna/,$0.465215,"$133,873,023",0.17%
OMG,OmiseGO,https://coinmarketcap.com/currencies/omisego/,$0.942957,"$132,245,357",-0.78%
KCS,KuCoin Shares,https://coinmarketcap.com/currencies/kucoin-shares/,$1.51,"$130,767,112",0.38%
CENNZ,Centrality,https://coinmarketcap.com/currencies/centrality/,$0.114293,"$121,417,072",13.24%
VSYS,V Systems,https://coinmarketcap.com/currencies/v-systems/,$0.065712,"$120,984,316",-0.92%
BTM,Bytom,https://coinmarketcap.com/currencies/bytom/,$0.115740,"$116,029,029",4.30%
NANO,Nano,https://coinmarketcap.com/currencies/nano/,$0.856038,"$114,065,558",-0.25%
EKT,EDUCare,https://coinmarketcap.com/currencies/educare/,$0.130319,"$110,770,744",-0.14%
SNX,Synthetix Net...,https://coinmarketcap.com/currencies/synthetix-network-token/,$0.745297,"$105,931,364",2.68%
ALGO,Algorand,https://coinmarketcap.com/currencies/algorand/,$0.237398,"$101,940,541",11.44%
REP,Augur,https://coinmarketcap.com/currencies/augur/,$9.10,"$100,090,464",0.30%
LSK,Lisk,https://coinmarketcap.com/currencies/lisk/,$0.809959,"$98,213,137",0.97%
BTT,BitTorrent,https://coinmarketcap.com/currencies/bittorrent/,$0.000458,"$97,128,253",0.96%
BCD,Bitcoin Diamond,https://coinmarketcap.com/currencies/bitcoin-diamond/,$0.515784,"$96,190,014",1.80%
DAI,Dai,https://coinmarketcap.com/currencies/dai/,$1.01,"$89,729,938",0.53%
DGB,DigiByte,https://coinmarketcap.com/currencies/digibyte/,$0.006864,"$85,398,986",-3.44%
SC,Siacoin,https://coinmarketcap.com/currencies/siacoin/,$0.002039,"$85,273,682",0.17%
IOST,IOST,https://coinmarketcap.com/currencies/iostoken/,$0.006912,"$83,039,941",5.85%
ICX,ICON,https://coinmarketcap.com/currencies/icon/,$0.165273,"$82,966,320",1.60%
THETA,THETA,https://coinmarketcap.com/currencies/theta/,$0.094629,"$82,374,805",2.24%
WAVES,Waves,https://coinmarketcap.com/currencies/waves/,$0.787692,"$78,939,077",1.23%
