Video Title,Link,"Duration, m:s",Views,Background
Do This After Every Workout,https://youtube.com/watch?v=d7y_OHw3gsQ,10:12,145 990 ,https://i.ytimg.com/vi/d7y_OHw3gsQ/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLAfwrALge2NjSLLZKh2xkvEwMp1JA
Full Body Beginner Workout (Follow Along),https://youtube.com/watch?v=ZZRvDegL7MU,10:11,123 938 ,https://i.ytimg.com/vi/ZZRvDegL7MU/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLDyJsJivRFSgYg1GZyEDhBMKv8DDA
15 BEST 6Pack ABS Exercises (You Can Do Anywhere),https://youtube.com/watch?v=KLXJRqstsuo,14:00,443 735 ,https://i.ytimg.com/vi/KLXJRqstsuo/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCX-GxiV-BWY5VvVuO4LeenE3CaWw
STOP doing PULL UPS Like This! (Do it RIGHT),https://youtube.com/watch?v=Ww-gNf0ys8M,13:23,520 535 ,https://i.ytimg.com/vi/Ww-gNf0ys8M/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLDxDfxLxlC_yJYPs0dTi2y4ywKBcg
10 Best Calisthenics Exercises,https://youtube.com/watch?v=sPL5z_eAhAA,10:09,167 534 ,https://i.ytimg.com/vi/sPL5z_eAhAA/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCfyOE1-kBmi43Z5whaTlte_eY0gQ
How To Get Defined Abs,https://youtube.com/watch?v=1CLy-kVvG-s,10:03,437 293 ,https://i.ytimg.com/vi/1CLy-kVvG-s/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCeyRHxWc7oI0iUzHJGTZ2tG5Ibgw
You Only Need This To Build Muscle,https://youtube.com/watch?v=rXPLkz0cVoI,11:17,392 930 ,https://i.ytimg.com/vi/rXPLkz0cVoI/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLB4yQxT5SUcmwN4KDt119j4jDwg_g
Zen Heria Birthday Workout (8 Years Old),https://youtube.com/watch?v=EoiPKVLeOaA,10:05,382 150 ,https://i.ytimg.com/vi/EoiPKVLeOaA/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLCzyFrS-HJHVzz49995UfporO0fJA
Get Ripped from Home - HIIT Workout (No Equipment Needed),https://youtube.com/watch?v=8J2pCRDTK9o,10:35,367 262 ,https://i.ytimg.com/vi/8J2pCRDTK9o/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLB6maQoTe0LRGkfZcVZd4w7kEWFJw
How To Get Fit From Home (No Equipment Needed),https://youtube.com/watch?v=zoeot-2YQ1Y,12:27,397 263 ,https://i.ytimg.com/vi/zoeot-2YQ1Y/hqdefault.jpg?sqp=-oaymwEiCMQBEG5IWvKriqkDFQgBFQAAAAAYASUAAMhCPQCAokN4AQ==&rs=AOn4CLDmE6vdGhM9XYlMpG7OXuJpUFpkTQ
